Model,Prompt,Total_Generation_Time,Model_time_sec,Model_CPU_util,Model_GPU_util,Model_RAM_MB,Model_GPU_Mem_MB,Model_Network_MB,Token_time_sec,Token_CPU_util,Token_GPU_util,Token_RAM_MB,Token_GPU_Mem_MB,Token_Network_MB,Encoding_time_sec,Encoding_CPU_util,Encoding_GPU_util,Encoding_RAM_MB,Encoding_GPU_Mem_MB,Encoding_Network_MB,Latent_time_sec,Latent_CPU_util,Latent_GPU_util,Latent_RAM_MB,Latent_GPU_Mem_MB,Latent_Network_MB,Diffusion_time_sec,Diffusion_CPU_util,Diffusion_GPU_util,Diffusion_RAM_MB,Diffusion_GPU_Mem_MB,Diffusion_Network_MB,Generation_time_sec,Generation_CPU_util,Generation_GPU_util,Generation_RAM_MB,Generation_GPU_Mem_MB,Generation_Network_MB,Display_time_sec,Display_CPU_util,Display_GPU_util,Display_RAM_MB,Display_GPU_Mem_MB,Display_Network_MB
runwayml/stable-diffusion-v1-5,A coffee cup on a wooden table with sunlight streaming through the window.,11.2593,5.1444,14.06,83.74,7251.04,2937.34,0.04,0.0058,0.15,100.00,6659.10,5313.35,0.00,0.0068,0.00,100.00,6659.10,5319.07,0.00,0.0002,0.00,100.00,6659.10,5313.41,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.3471,1.55,87.24,6659.10,2674.53,0.02,0.2448,0.81,84.33,6659.10,2666.51,0.01
runwayml/stable-diffusion-v1-5,A single banana on a plain white background.,10.5077,4.1868,13.10,93.41,7120.07,3032.63,0.04,0.0047,0.15,100.00,6659.60,5313.10,0.00,0.0071,0.00,100.00,6659.60,5317.05,0.00,0.0002,0.00,100.00,6659.60,5311.40,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.6163,1.61,71.24,6659.60,2669.96,0.02,0.2100,1.17,81.00,6659.60,2658.86,0.00
runwayml/stable-diffusion-v1-5,A red apple sitting on a kitchen counter.,10.0143,3.8875,12.94,90.38,7020.51,2958.36,0.04,0.0009,0.00,100.00,6658.54,5310.23,0.00,0.0093,0.00,99.00,6658.54,5314.17,0.00,0.0003,0.00,99.00,6658.54,5310.29,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.5530,1.58,88.80,6578.75,2677.34,0.03,0.2017,1.25,100.00,6578.75,2663.63,0.00
runwayml/stable-diffusion-v1-5,A plain glass of water on a wooden table.,10.9705,4.5905,13.33,92.98,6900.49,2947.82,0.04,0.0046,0.15,94.00,6579.21,5310.35,0.00,0.0069,0.15,94.00,6579.21,5314.65,0.00,0.0002,0.00,94.00,6579.21,5310.77,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.7681,1.53,89.32,6579.21,2670.18,0.02,0.2036,1.28,99.00,6579.21,2659.34,0.00
stabilityai/stable-diffusion-2-base,A unicorn with a horn surrounded by clouds in sky.,63.3921,57.2123,3.86,88.74,7888.39,2683.99,0.39,0.0077,0.00,100.00,6582.71,5158.42,0.00,0.0127,0.31,100.00,6582.71,5167.92,0.00,0.0020,0.00,99.00,6582.71,5163.68,0.03,0.0010,0.00,0.00,0.00,0.00,0.00,5.4038,1.47,79.65,6582.71,2530.09,0.04,0.2611,0.95,92.67,6582.71,2516.90,0.00
stabilityai/stable-diffusion-2-base,A dragon flying above a mountain with a golden sunset.,9.1746,3.0410,13.84,66.47,7150.15,2926.80,0.12,0.0050,0.15,79.00,6581.90,5000.05,0.00,0.0107,0.15,87.00,6581.90,5009.55,0.00,0.0002,0.00,87.00,6581.90,5000.11,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.3833,1.49,93.36,6581.90,2518.86,0.03,0.2417,1.00,94.00,6581.90,2500.97,0.01
stabilityai/stable-diffusion-2-base,"A mermaid sitting on a rock under the moonlight, surrounded by sea creatures.",8.6989,2.6794,12.61,78.65,6950.34,2952.20,0.04,0.0046,0.15,100.00,6582.33,4997.67,0.00,0.0152,0.15,100.00,6582.33,5010.07,0.00,0.0002,0.00,100.00,6582.33,5000.63,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.2532,1.46,90.67,6582.33,2527.84,0.02,0.2052,0.99,93.00,6582.33,2517.42,0.00
stabilityai/stable-diffusion-2-base,A blue Lamborghini parked beside an apple tree in a field.,9.3952,3.5347,15.36,92.56,7166.39,2876.95,0.04,0.0037,0.00,100.00,6583.09,4999.83,0.00,0.0117,0.16,99.00,6583.09,5010.05,0.00,0.0002,0.00,99.00,6583.09,4997.71,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.2568,1.46,73.54,6583.09,2506.58,0.03,0.1798,1.10,100.00,6583.09,2500.95,0.00
stabilityai/stable-diffusion-2-base,A street with a red double-decker bus passing by modern buildings.,8.7391,2.7224,11.02,57.08,6886.63,3033.95,0.03,0.0015,0.00,89.00,6583.43,4996.30,0.00,0.0147,0.16,89.00,6583.43,5007.96,0.00,0.0003,0.00,89.00,6583.43,4997.79,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.3748,1.45,69.88,6583.43,2524.53,0.03,0.1901,1.18,100.00,6583.43,2515.32,0.00
stabilityai/stable-diffusion-2-base,A coffee cup on a wooden table with sunlight streaming through the window.,9.0486,3.2190,13.44,85.52,7168.40,2895.17,0.03,0.0010,0.15,83.00,6580.44,4998.61,0.00,0.0109,0.15,83.00,6580.44,5010.26,0.00,0.0001,0.00,83.00,6580.44,4998.67,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.2768,1.51,93.32,6580.44,2516.29,0.02,0.1739,1.16,84.50,6580.44,2503.26,0.00
stabilityai/stable-diffusion-2-base,A single banana on a plain white background.,8.6823,2.9144,13.43,83.18,6923.76,2959.20,0.03,0.0055,0.00,95.00,6580.25,4997.12,0.00,0.0119,0.15,95.00,6580.25,5005.18,0.00,0.0002,0.00,95.00,6580.25,4993.58,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.0855,1.46,89.95,6580.25,2529.85,0.03,0.2143,1.24,88.00,6580.25,2510.23,0.00
stabilityai/stable-diffusion-2-base,A red apple sitting on a kitchen counter.,8.8808,2.9535,12.63,71.82,6932.05,2907.51,0.03,0.0080,0.15,100.00,6579.60,4992.40,0.00,0.0124,0.15,100.00,6579.60,5000.45,0.00,0.0002,0.00,99.00,6579.60,4992.46,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.2396,1.46,70.76,6579.60,2512.13,0.02,0.2114,1.11,73.00,6579.60,2498.53,0.00
stabilityai/stable-diffusion-2-base,A plain glass of water on a wooden table.,10.0799,4.1496,18.42,94.18,7290.92,2860.50,0.03,0.0060,0.00,100.00,6584.34,4989.42,0.00,0.0133,0.16,100.00,6584.34,4998.20,0.00,0.0002,0.00,100.00,6584.34,4990.20,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,5.1994,1.50,73.49,6584.34,2519.30,0.02,0.1911,1.18,91.00,6584.34,2507.98,0.00
stabilityai/stable-diffusion-2-1,A unicorn with a horn surrounded by clouds in sky.,16.2321,3.6594,14.73,89.57,7220.81,2853.08,0.03,0.0018,0.00,99.00,6582.71,4992.49,0.00,0.0125,0.15,99.00,6582.71,5001.99,0.00,0.0002,0.00,45.00,6582.71,4993.27,0.00,0.0010,0.00,0.00,0.00,0.00,0.00,11.6577,1.49,81.22,6585.65,2521.22,0.04,0.5027,1.27,97.60,6585.71,2502.19,0.00
